Food,Category,Natural_vs_transformed,Sweet_vs_savory,Prep Form,Additional Prompt
Alfalfa sprouts,Vegetable,Natural,Savory,,
Almonds,Protein,Natural,Savory,,
Anchovies,Protein,Natural,Savory,,
Apple (prepared),Fruit,Natural,Sweet,,
Apple (raw),Fruit,Natural,Sweet,,
Apple pear (nashi),Fruit,Natural,Sweet,,
Apple pie,Dessert,Transformed,Sweet,,
Apricot (prepared),Fruit,Natural,Sweet,,
Apricot (raw),Fruit,Natural,Sweet,,
Artichoke,Vegetable,Natural,Savory,,
Asparagus (prepared),Vegetable,Natural,Savory,,
Asparagus (raw),Vegetable,Natural,Savory,,
Avocado,Vegetable,Natural,Savory,,
Bacon,Protein,Natural,Savory,,
Bagel,Grain,Natural,Savory,,
Baguette,Grain,Natural,Savory,,
Baked salmon fillet,Dish,Transformed,Savory,,
Bamboo shoots,Vegetable,Natural,Savory,,
Banana,Fruit,Natural,Sweet,,
Banana chips,Fruit,Transformed,Sweet,,
Barley,Grain,Transformed,Savory,,
Barramundi,Protein,Transformed,Savory,,
Beef steak,Protein,Natural,Savory,,
Beef stir fry,Dish,Transformed,Savory,,
Beetroot (prepared),Vegetable,Natural,Savory,,
Bell pepper (capsicum),Vegetable,Natural,Savory,,
Bibimbap,Dish,Natural,Savory,,
Biryani,Dish,Natural,Savory,,
Biscuit (US),Grain,Natural,Savory,,
Black beans,Protein,Natural,Savory,,
Blackberry,Fruit,Natural,Sweet,,
Blueberry,Fruit,Natural,Sweet,,
Bok choy,Vegetable,Natural,Savory,,
borrito bowl,Dish,Transformed,Savory,,
Bread (white),Grain,Transformed,Savory,,
Bread (wholegrain),Grain,Transformed,Savory,,
Breadstick,Grain,Transformed,Savory,,
Brioche,Grain,Natural,Savory,,
Broccoli (prepared),Vegetable,Natural,Savory,,
Broccoli (raw),Vegetable,Natural,Savory,,
Brownie,Dessert,Natural,Sweet,,
Brussels sprouts,Vegetable,Natural,Savory,,
Bulgogi,Dish,Natural,Savory,,
Burrito,Dish,Transformed,Savory,,
Butter chicken,Dish,Natural,Savory,,
Cabbage (prepared),Vegetable,Natural,Savory,,
Cabbage (raw),Vegetable,Natural,Savory,,
Caesar salad,Dish,Transformed,Savory,,
Calamari,Protein,Natural,Savory,,
Candy,Dessert,Natural,Sweet,,
Cannellini beans,Protein,Natural,Savory,,
Carbonara,Dish,Natural,Savory,,
Carrot (cooked),Vegetable,Transformed,Savory,,
Carrot (raw),Vegetable,Natural,Savory,,
Cashews,Protein,Natural,Savory,,
Casserole,Dish,Transformed,Savory,,
Cauliflower (prepared),Vegetable,Natural,Savory,,
Cauliflower (raw),Vegetable,Natural,Savory,,
Celery,Vegetable,Natural,Savory,,
Cereal flakes,Grain,Natural,Sweet,,
Chapati,Grain,Natural,Savory,,
Chayote,Vegetable,Natural,Savory,,
Cheese (brie),Protein,Natural,Savory,,
Cheese (cheddar),Protein,Natural,Savory,,
Cheese (feta),Protein,Natural,Savory,,
Cheese (mozzarella),Protein,Natural,Savory,,
Cheesecake,Dessert,Transformed,Sweet,,
Cherry,Fruit,Natural,Sweet,,
Chicken breast,Protein,Natural,Savory,,
Chicken noodle soup,Dish,Transformed,Savory,,
Chicken parmesan,Dish,Transformed,Savory,,
Chicken thigh,Protein,Natural,Savory,,
Chicken tikka wrap,Dish,Transformed,Savory,,
Chicken wings,Protein,Natural,Savory,,
Chickpeas,Protein,Natural,Savory,,
Chili con carne,Dish,Natural,Savory,,
Chilli pepper,Vegetable,Natural,Savory,,
Chocolate cake,Dessert,Transformed,Sweet,,
chocolate peanut butter pie,Dessert,Transformed,sweet,,
Coconut,Fruit,Natural,Sweet,,
Cod,Protein,Natural,Savory,,
