filename,human_calorie_density,human_healthiness,human_appeal,human_sweetness,human_saltiness,human_sourness,human_bitterness,human_savoriness,human_fattiness,human_spiciness,human_familiarity
alfalfa-sprouts.png,7.88,87.25,36.94,6.09,3.0,4.18,22.73,12.0,0.82,2.73,2.69
almonds.png,59.16,84.04,68.72,22.52,25.72,14.36,21.04,28.2,25.36,11.44,4.32
anchovies.png,49.63,52.81,31.96,11.77,73.15,8.92,12.23,51.85,36.38,12.38,2.52
apple-pear-nashi.png,29.83,85.79,75.33,67.61,5.52,20.57,6.04,8.48,5.87,4.17,3.88
apple-pie.png,80.56,31.81,66.25,81.21,18.0,21.79,7.21,19.43,27.57,6.64,3.38
apple-prepared.png,50.32,62.18,64.5,67.44,5.62,8.62,2.0,8.94,6.25,9.75,3.36
apple-raw.png,23.28,93.97,76.45,72.03,6.79,20.79,8.76,9.21,7.45,5.9,4.52
apricot-prepared.png,46.4,62.2,48.4,76.17,2.5,26.0,3.83,13.17,3.33,0.0,2.27
apricot-raw.png,28.28,83.64,61.2,64.6,1.6,24.5,6.9,8.55,1.85,0.6,3.4
artichoke.png,32.76,82.24,45.57,14.36,13.36,7.36,14.55,29.09,11.82,3.45,2.9
asparagus-prepared.png,46.89,84.89,70.74,18.32,31.16,11.63,20.37,37.79,17.84,14.53,3.95
asparagus-raw.png,24.7,82.09,59.13,11.67,24.38,8.05,23.52,24.67,11.14,4.52,3.91
avocado.png,57.25,85.12,61.69,13.5,6.44,7.56,11.62,26.69,39.56,1.25,4.25
bacon.png,76.93,30.93,69.07,9.42,63.81,5.54,6.69,51.96,67.69,15.31,3.79
bagel.png,59.57,44.22,58.87,27.0,19.61,3.39,2.91,17.61,17.3,3.57,3.74
baguette.png,59.12,54.53,63.47,20.41,17.65,3.65,4.76,16.47,10.29,0.76,4.35
baked-salmon-fillet.png,58.05,79.24,78.0,16.11,38.47,15.0,15.32,53.53,45.0,17.63,3.9
bamboo-shoots.png,38.7,63.3,36.26,39.75,23.38,24.62,23.5,27.12,26.75,24.75,2.04
banana-chips.png,60.08,55.77,56.54,58.86,26.73,7.23,7.32,32.36,18.23,10.05,3.35
banana.png,38.9,86.38,76.9,76.48,3.05,5.43,3.86,4.57,7.33,0.71,4.71
barley.png,46.9,75.95,41.29,14.0,6.75,2.12,4.12,30.0,5.12,0.75,2.33
barramundi.png,46.41,79.53,73.0,9.12,39.88,14.12,12.12,50.47,35.47,15.53,4.06
beef-steak.png,78.87,55.0,79.27,1.62,49.38,1.46,1.38,71.54,60.15,4.23,4.0
beef-stir-fry.png,62.12,67.48,72.92,14.59,44.24,11.35,5.24,44.53,43.94,21.94,3.2
beetroot-prepared.png,33.68,80.0,41.73,44.07,26.0,24.4,24.2,30.67,12.07,11.73,3.09
bell-pepper-capsicum.png,18.75,73.32,54.36,20.31,7.85,4.35,10.65,10.08,3.12,33.31,3.86
bibimbap.png,56.67,67.11,76.41,14.67,34.67,10.24,7.57,59.57,19.48,22.48,3.37
biryani.png,70.65,45.94,62.97,13.93,35.57,9.71,4.57,54.21,39.43,44.5,2.58
biscuit-us.png,67.0,32.2,63.8,34.56,19.28,5.89,4.72,29.94,22.78,5.06,3.5
black-beans.png,54.5,71.28,47.61,13.56,27.25,5.06,9.19,34.5,12.62,3.44,3.67
blackberry.png,33.44,79.72,66.83,54.78,3.78,22.56,11.78,7.72,1.39,1.56,3.83
blueberry.png,28.14,90.38,80.24,71.71,10.81,28.71,11.86,13.52,9.86,8.95,4.38
bok-choy.png,25.09,88.22,48.39,15.06,19.11,13.83,17.56,30.17,7.67,6.67,3.43
borrito-bowl.png,64.24,63.24,74.76,5.7,35.4,6.0,5.2,59.1,30.0,28.9,3.12
bread-white.png,55.37,50.0,64.93,29.69,11.23,5.58,6.0,20.88,16.92,4.62,4.37
bread-wholegrain.png,47.33,62.81,53.9,21.76,13.67,7.29,3.19,19.9,10.19,1.14,4.19
breadstick.png,59.48,44.22,57.52,24.35,46.7,11.83,10.7,36.3,33.13,12.83,3.48
brioche.png,65.92,36.64,55.76,44.63,21.21,4.58,1.58,21.95,24.79,0.74,3.36
broccoli-prepared.png,29.33,91.75,64.29,13.3,11.96,6.57,13.96,19.91,10.43,7.26,4.25
broccoli-raw.png,25.73,88.31,62.35,11.65,16.0,9.0,14.04,22.77,9.54,7.73,4.27
brownie.png,86.12,30.48,78.0,88.42,18.29,10.96,11.58,15.46,41.75,10.25,3.92
brussels-sprouts.png,33.62,77.62,49.42,10.56,22.0,7.89,16.5,32.72,6.06,4.0,3.38
bulgogi.png,70.29,52.88,62.79,7.12,39.62,1.81,1.31,59.12,32.12,18.94,3.17
burrito.png,69.05,30.84,79.84,2.62,45.06,2.81,2.44,61.75,43.31,33.69,3.63
butter-chicken.png,71.48,43.07,66.59,21.59,35.29,14.71,10.35,48.47,50.94,54.82,2.93
cabbage-prepared.png,23.96,85.5,45.08,16.37,2.58,7.21,9.11,15.74,1.32,1.11,3.54
cabbage-raw.png,31.06,86.69,61.69,20.94,14.31,11.56,18.0,23.25,14.25,13.0,4.56
caesar-salad.png,40.95,71.52,66.67,14.67,31.72,12.11,15.22,37.78,18.83,11.61,3.71
calamari.png,70.5,38.04,63.36,14.73,49.18,8.73,11.0,54.55,44.91,21.0,3.43
candy.png,75.24,24.43,63.52,90.25,7.25,22.15,9.85,11.6,16.15,7.7,3.76
cannellini-beans.png,37.78,75.7,37.48,12.61,8.11,3.61,6.06,18.39,9.0,0.22,3.35
