anon_subject_id,filename,human_calorie_density,human_healthiness,human_appeal,human_sweetness,human_saltiness,human_sourness,human_bitterness,human_savoriness,human_fattiness,human_spiciness,human_familiarity
1,alfalfa-sprouts.png,9,82,51,0.0,0.0,24.0,38.0,15.0,0.0,0.0,3.0
1,apricot-raw.png,27,80,65,68.0,1.0,30.0,10.0,0.0,0.0,0.0,3.0
1,beef-stir-fry.png,54,64,75,2.0,67.0,5.0,10.0,75.0,65.0,48.0,4.0
1,beetroot-prepared.png,13,85,54,0.0,0.0,23.0,76.0,13.0,0.0,0.0,4.0
1,biryani.png,72,31,48,,,,,,,,1.0
1,bread-wholegrain.png,42,66,54,3.0,15.0,6.0,0.0,56.0,37.0,6.0,5.0
1,brioche.png,77,21,32,67.0,10.0,1.0,5.0,25.0,70.0,7.0,4.0
1,broccoli-raw.png,29,85,78,0.0,5.0,20.0,13.0,41.0,0.0,0.0,5.0
1,brownie.png,90,16,85,95.0,10.0,0.0,0.0,17.0,69.0,0.0,4.0
1,bulgogi.png,75,32,28,,,,,,,,1.0
1,calamari.png,56,33,75,4.0,71.0,0.0,0.0,68.0,64.0,48.0,4.0
1,chayote.png,23,82,44,,,,,,,,1.0
1,chicken-breast.png,43,34,51,,,,,,,,2.0
1,chocolate-cake.png,77,14,69,92.0,6.0,4.0,23.0,16.0,80.0,6.0,4.0
1,coleslaw.png,33,79,48,20.0,46.0,11.0,63.0,17.0,9.0,27.0,3.0
1,crab.png,61,53,22,,,,,,,,2.0
1,deli-ham-sliced.png,46,41,56,8.0,75.0,0.0,0.0,43.0,57.0,20.0,4.0
1,donut.png,60,31,84,98.0,0.0,0.0,0.0,20.0,34.0,0.0,5.0
1,eggs-chicken.png,67,45,51,2.0,45.0,4.0,7.0,50.0,56.0,28.0,4.0
1,falafel.png,62,42,25,,,,,,,,1.0
1,fig-raw.png,28,54,48,,,,,,,,1.0
1,fudge.png,74,21,38,92.0,26.0,0.0,8.0,18.0,88.0,7.0,3.0
1,grapefruit.png,13,75,65,15.0,0.0,79.0,89.0,0.0,0.0,0.0,4.0
1,grilled-salmon.png,59,47,40,0.0,60.0,0.0,0.0,70.0,53.0,43.0,4.0
1,gyoza.png,56,49,86,7.0,64.0,5.0,2.0,78.0,54.0,47.0,4.0
1,kimchi-stew.png,56,52,47,12.0,81.0,0.0,19.0,71.0,43.0,45.0,4.0
1,leek.png,18,71,36,,,,,,,,2.0
1,lentil-stew.png,41,67,65,11.0,71.0,5.0,0.0,30.0,22.0,37.0,4.0
1,mulberry.png,23,78,58,,,,,,,,2.0
1,mushrooms-button.png,22,72,15,,,,,,,,2.0
1,oats.png,40,76,17,44.0,0.0,10.0,5.0,26.0,21.0,0.0,3.0
1,paella.png,59,46,64,18.0,87.0,13.0,0.0,77.0,46.0,76.0,4.0
1,paneer.png,25,83,75,3.0,40.0,0.0,0.0,58.0,16.0,10.0,4.0
1,pastry.png,74,27,76,,,,,,,,1.0
1,peas.png,8,84,38,8.0,24.0,0.0,22.0,15.0,0.0,0.0,4.0
1,penne.png,20,51,74,3.0,53.0,3.0,1.0,71.0,55.0,49.0,5.0
1,pickled-cucumber.png,20,74,58,20.0,73.0,67.0,55.0,19.0,4.0,26.0,4.0
1,pinto-beans.png,25,78,39,3.0,30.0,0.0,8.0,40.0,20.0,8.0,4.0
1,pizza.png,78,29,78,4.0,64.0,0.0,0.0,95.0,81.0,39.0,4.0
1,potato-chips.png,56,35,75,0.0,77.0,0.0,0.0,37.0,59.0,34.0,5.0
1,quinoa.png,35,78,28,,,,,,,,1.0
1,radicchio.png,15,88,58,,,,,,,,1.0
1,rice-noodles.png,27,61,65,0.0,13.0,7.0,4.0,43.0,32.0,2.0,5.0
1,rocket-arugula.png,5,85,78,,,,,,,,2.0
1,rogan-josh.png,65,29,46,,,,,,,,1.0
1,sardines.png,32,58,44,4.0,64.0,1.0,6.0,58.0,50.0,34.0,4.0
1,sausage.png,80,38,67,10.0,84.0,0.0,0.0,75.0,72.0,44.0,4.0
1,scone.png,74,25,19,,,,,,,,1.0
1,shallot.png,20,83,71,17.0,0.0,20.0,60.0,22.0,0.0,0.0,5.0
1,snapper.png,72,45,64,8.0,88.0,0.0,0.0,75.0,58.0,55.0,4.0
1,sourdough.png,49,61,74,13.0,39.0,9.0,0.0,47.0,35.0,0.0,5.0
1,sweet-and-sour-chicken.png,79,28,30,,,,,,,,2.0
1,sweet-breakfast-cereal.png,68,27,18,95.0,0.0,0.0,0.0,0.0,23.0,0.0,3.0
1,taco.png,56,53,93,0.0,66.0,0.0,0.0,78.0,53.0,69.0,5.0
1,tamarind.png,30,68,30,,,,,,,,1.0
1,taro.png,36,58,43,,,,,,,,1.0
1,teriyaki-chicken.png,75,46,74,,,,,,,,1.0
1,tomato-soup.png,63,47,31,11.0,90.0,0.0,0.0,42.0,46.0,44.0,3.0
1,tortilla-corn.png,38,68,67,0.0,39.0,0.0,0.0,35.0,25.0,15.0,5.0
1,udon.png,49,44,55,,,,,,,,2.0
2,apple-pear-nashi.png,13,100,90,75.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2,avocado.png,10,88,33,0.0,0.0,0.0,0.0,8.0,4.0,0.0,3.0
2,bagel.png,65,54,44,4.0,13.0,0.0,0.0,2.0,6.0,0.0,3.0
2,barley.png,25,98,34,6.0,15.0,0.0,0.0,0.0,1.0,0.0,3.0
2,beef-stir-fry.png,60,87,90,1.0,74.0,5.0,0.0,43.0,26.0,19.0,3.0
2,beetroot-prepared.png,9,84,68,34.0,12.0,12.0,0.0,1.0,2.0,0.0,3.0
2,black-beans.png,75,45,37,39.0,24.0,0.0,36.0,55.0,14.0,0.0,3.0
2,brownie.png,96,27,75,96.0,25.0,0.0,0.0,0.0,71.0,0.0,4.0
2,bulgogi.png,81,50,30,,,,,,,,2.0
2,carbonara.png,85,55,65,1.0,80.0,0.0,0.0,44.0,58.0,0.0,4.0
2,chapati.png,58,56,38,,,,,,,,2.0
2,cheese-mozzarella.png,60,75,35,,,,,,,,2.0
2,chicken-noodle-soup.png,64,87,66,2.0,68.0,0.0,0.0,52.0,31.0,0.0,4.0
2,chicken-thigh.png,80,90,95,0.0,37.0,0.0,0.0,67.0,58.0,0.0,5.0
2,chocolate-cake.png,97,23,75,95.0,7.0,0.0,0.0,15.0,85.0,0.0,3.0
2,coconut.png,30,99,33,60.0,0.0,0.0,2.0,8.0,7.0,0.0,3.0
2,cornbread.png,61,52,61,35.0,18.0,0.0,0.0,2.0,2.0,0.0,4.0
2,couscous.png,37,83,24,,,,,,,,2.0
2,currant.png,12,100,72,85.0,0.0,29.0,0.0,0.0,0.0,0.0,4.0
2,curry-indian.png,91,58,43,,,,,,,,2.0
2,donut.png,90,20,92,90.0,10.0,0.0,0.0,0.0,75.0,0.0,4.0
2,dried-cherry.png,27,99,75,75.0,2.0,42.0,0.0,0.0,2.0,0.0,3.0
2,durian.png,60,29,8,,,,,,,,1.0
2,fig-raw.png,12,50,4,,,,,,,,1.0
2,flatbread.png,35,80,60,0.0,22.0,0.0,0.0,0.0,19.0,0.0,3.0
2,gelato.png,90,45,90,96.0,4.0,0.0,0.0,0.0,85.0,0.0,4.0
2,ground-beef.png,54,42,17,2.0,60.0,0.0,0.0,49.0,73.0,0.0,4.0
2,hamburger.png,93,70,90,0.0,71.0,0.0,0.0,58.0,58.0,0.0,4.0
2,jalapeno.png,6,100,81,0.0,0.0,0.0,12.0,0.0,0.0,97.0,4.0
2,lime.png,5,100,95,75.0,1.0,75.0,0.0,2.0,0.0,0.0,4.0
2,lotus-root.png,8,50,4,,,,,,,,1.0
2,matzo.png,20,85,50,0.0,7.0,0.0,0.0,0.0,1.0,0.0,4.0
2,naan.png,55,72,57,1.0,12.0,0.0,0.0,2.0,2.0,0.0,3.0
2,napa-cabbage.png,1,100,40,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0
2,noodles-wheat.png,60,67,34,0.0,54.0,0.0,0.0,0.0,4.0,0.0,4.0
2,paneer.png,16,76,19,,,,,,,,2.0
2,passionfruit.png,19,50,6,,,,,,,,1.0
2,pastry.png,70,66,90,60.0,18.0,9.0,0.0,0.0,38.0,0.0,3.0
2,pho.png,65,75,70,3.0,86.0,6.0,0.0,63.0,29.0,8.0,3.0
2,pickled-cucumber.png,16,70,70,35.0,64.0,68.0,0.0,6.0,0.0,0.0,4.0
2,plum-prepared.png,6,99,87,85.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2,pork-chop.png,63,86,97,5.0,40.0,0.0,0.0,65.0,65.0,0.0,5.0
2,portobello-mushrooms.png,19,92,85,0.0,25.0,0.0,0.0,31.0,6.0,0.0,4.0
2,rendang.png,64,64,32,,,,,,,,1.0
2,rice-noodles.png,20,87,20,,,,,,,,2.0
